epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7800.79,0.88559,0.85449,1.27508,0.88856,0.92956,0.93092,0.6908,0.93725,0.59726,1.40035,0.000148525,0.000148525,0.000148525
43,7990.72,0.87826,0.85399,1.2566,0.89058,0.93407,0.92996,0.69299,0.94626,0.597,1.40858,0.00014605,0.00014605,0.00014605
44,8180.56,0.86139,0.83026,1.25323,0.88797,0.9283,0.93481,0.70068,0.94198,0.56839,1.40872,0.000143575,0.000143575,0.000143575
45,8369.77,0.87587,0.81955,1.2716,0.90047,0.93376,0.93656,0.70703,0.93627,0.56189,1.39165,0.0001411,0.0001411,0.0001411
46,8558.69,0.88854,0.84311,1.26391,0.88791,0.92613,0.93791,0.69689,0.95152,0.57511,1.41097,0.000138625,0.000138625,0.000138625
47,8733.78,0.86515,0.80353,1.24978,0.90925,0.93297,0.94281,0.71232,0.92645,0.5463,1.39377,0.00013615,0.00013615,0.00013615
48,8950.54,0.87439,0.7957,1.25963,0.88527,0.92582,0.93489,0.69585,0.94658,0.58011,1.41242,0.000133675,0.000133675,0.000133675
49,9165.55,0.87058,0.7987,1.26249,0.89425,0.93063,0.93611,0.69939,0.93403,0.56008,1.39535,0.0001312,0.0001312,0.0001312
50,9376.39,0.8637,0.79744,1.25534,0.88144,0.92677,0.93015,0.69365,0.93465,0.56512,1.40263,0.000128725,0.000128725,0.000128725
51,9583.09,0.86289,0.79249,1.26052,0.89363,0.93751,0.94326,0.70557,0.93459,0.56294,1.40362,0.00012625,0.00012625,0.00012625
52,9852.8,0.85922,0.78987,1.25428,0.88072,0.93585,0.93606,0.70294,0.93228,0.56179,1.40047,0.000123775,0.000123775,0.000123775
53,10129.9,0.85237,0.76791,1.24684,0.9069,0.93427,0.943,0.70555,0.93891,0.53856,1.4009,0.0001213,0.0001213,0.0001213
